,Unnamed: 0,fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name,city,LATITUDE,LONGITUDE,weather
539,539,1575590400,AS,AS,AS,189,AS,N536AS,189,10299,ANC,"Anchorage, AK",11630,FAI,"Fairbanks, AK",1000,1017.0,17.0,46.0,1103.0,1146.0,3.0,1102,1149.0,47.0,0,,0,N,62.0,92.0,43.0,1,261,17.0,0.0,30.0,0.0,0.0,,,,,Anchorage,61.17432,-149.99618999999996,cloudy
540,540,1518998400,AS,AS_CODESHARE,AS,2803,QX,N443QX,2803,10299,ANC,"Anchorage, AK",11630,FAI,"Fairbanks, AK",1120,1136.0,16.0,8.0,1144.0,1235.0,5.0,1230,1240.0,10.0,0,,0,N,70.0,64.0,51.0,1,261,,,,,,,,,,Anchorage,61.17432,-149.99618999999996,cloudy
541,541,1549238400,AS,AS,AS,50,AS,N615AS,50,10299,ANC,"Anchorage, AK",14709,SCC,"Deadhorse, AK",1455,1703.0,128.0,14.0,1717.0,1841.0,4.0,1645,1845.0,120.0,0,,0,N,110.0,102.0,84.0,1,626,120.0,0.0,0.0,0.0,0.0,,,,,Anchorage,61.17432,-149.99618999999996,cloudy
542,542,1517529600,AS,AS,AS,80,AS,N613AS,80,10299,ANC,"Anchorage, AK",14747,SEA,"Seattle, WA",1005,1001.0,-4.0,6.0,1007.0,1353.0,7.0,1437,1400.0,-37.0,0,,0,N,212.0,179.0,166.0,1,1448,,,,,,,,,,Anchorage,61.17432,-149.99618999999996,cloudy
543,543,1515456000,AS,AS,AS,84,AS,N464AS,84,10299,ANC,"Anchorage, AK",14747,SEA,"Seattle, WA",1620,1612.0,-8.0,9.0,1621.0,2018.0,7.0,2055,2025.0,-30.0,0,,0,N,215.0,193.0,177.0,1,1448,,,,,,,,,,Anchorage,61.17432,-149.99618999999996,cloudy
544,544,1547164800,AS,AS,AS,43,AS,N618AS,43,10299,ANC,"Anchorage, AK",10551,BET,"Bethel, AK",1040,1035.0,-5.0,10.0,1045.0,1150.0,3.0,1200,1153.0,-7.0,0,,0,N,80.0,78.0,65.0,1,399,,,,,,,,,,Anchorage,61.17432,-149.99618999999996,cloudy
545,545,1517961600,AS,AS,AS,106,AS,N523AS,106,10299,ANC,"Anchorage, AK",14747,SEA,"Seattle, WA",2150,2139.0,-11.0,15.0,2154.0,137.0,3.0,219,140.0,-39.0,0,,0,N,209.0,181.0,163.0,1,1448,,,,,,,,,,Anchorage,61.17432,-149.99618999999996,cloudy
546,546,1550880000,AS,AS,AS,106,AS,N558AS,106,10299,ANC,"Anchorage, AK",14747,SEA,"Seattle, WA",2155,2144.0,-11.0,17.0,2201.0,159.0,4.0,213,203.0,-10.0,0,,0,N,198.0,199.0,178.0,1,1448,,,,,,,,,,Anchorage,61.17432,-149.99618999999996,cloudy
547,547,1514937600,AS,AS,AS,94,AS,N477AS,94,10299,ANC,"Anchorage, AK",14747,SEA,"Seattle, WA",1915,1914.0,-1.0,20.0,1934.0,2341.0,7.0,2334,2348.0,14.0,0,,0,N,199.0,214.0,187.0,1,1448,,,,,,,,,,Anchorage,61.17432,-149.99618999999996,cloudy
548,548,1543968000,AS,AS,AS,872,AS,N531AS,872,10299,ANC,"Anchorage, AK",12758,KOA,"Kona, HI",1525,1518.0,-7.0,22.0,1540.0,2108.0,4.0,2050,2112.0,22.0,0,,0,N,385.0,414.0,388.0,1,2874,0.0,0.0,22.0,0.0,0.0,,,,,Anchorage,61.17432,-149.99618999999996,cloudy
