,Unnamed: 0,fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name,city,LATITUDE,LONGITUDE,weather
0,0,1545782400,WN,WN,WN,5257,WN,N8656B,5257,10792,BUF,"Buffalo, NY",13232,MDW,"Chicago, IL",1750,1749.0,-1.0,18.0,1807.0,1834.0,5.0,1840,1839.0,-1.0,0,,0,N,110.0,110.0,87.0,1,468,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
1,1,1514851200,DL,DL_CODESHARE,DL,3394,9E,N325PQ,3394,10792,BUF,"Buffalo, NY",12478,JFK,"New York, NY",1339,1403.0,24.0,36.0,1439.0,1533.0,8.0,1515,1541.0,26.0,0,,0,N,96.0,98.0,54.0,1,301,0.0,18.0,2.0,0.0,6.0,,,,,Buffalo,42.94052,-78.73217,cloudy
2,2,1514851200,DL,DL_CODESHARE,DL,3502,9E,N906XJ,3502,10792,BUF,"Buffalo, NY",12953,LGA,"New York, NY",1159,1628.0,269.0,60.0,1728.0,1817.0,7.0,1324,1824.0,300.0,0,,0,N,85.0,116.0,49.0,1,292,0.0,269.0,31.0,0.0,0.0,,,,,Buffalo,42.94052,-78.73217,cloudy
3,3,1548806400,WN,WN,WN,327,WN,,327,10792,BUF,"Buffalo, NY",10821,BWI,"Baltimore, MD",525,,,,,,,645,,,1,B,0,N,80.0,,,1,281,,,,,,,,,,Buffalo,42.94052,-78.73217,snow
5,5,1546473600,UA,UA_CODESHARE,UA,4882,C5,N14186,4882,10792,BUF,"Buffalo, NY",11618,EWR,"Newark, NJ",600,552.0,-8.0,35.0,627.0,717.0,10.0,738,727.0,-11.0,0,,0,N,98.0,95.0,50.0,1,282,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
7,7,1545523200,WN,WN,WN,3308,WN,N262WN,3308,10792,BUF,"Buffalo, NY",13204,MCO,"Orlando, FL",1220,1312.0,52.0,7.0,1319.0,1542.0,4.0,1500,1546.0,46.0,0,,0,N,160.0,154.0,143.0,1,1011,7.0,0.0,0.0,0.0,39.0,,,,,Buffalo,42.94052,-78.73217,cloudy
8,8,1575244800,DL,DL_CODESHARE,DL,5173,9E,N320PQ,5173,10792,BUF,"Buffalo, NY",10721,BOS,"Boston, MA",602,617.0,15.0,91.0,748.0,900.0,10.0,736,910.0,94.0,0,,0,N,94.0,173.0,72.0,1,395,0.0,15.0,79.0,0.0,0.0,,,,,Buffalo,42.94052,-78.73217,cloudy
9,9,1545436800,UA,UA_CODESHARE,UA,4883,C5,N11181,4883,10792,BUF,"Buffalo, NY",11618,EWR,"Newark, NJ",935,929.0,-6.0,23.0,952.0,1042.0,11.0,1110,1053.0,-17.0,0,,0,N,95.0,84.0,50.0,1,282,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
11,11,1546732800,DL,DL_CODESHARE,DL,5540,9E,N308PQ,5540,10792,BUF,"Buffalo, NY",10721,BOS,"Boston, MA",1155,1142.0,-13.0,10.0,1152.0,1249.0,4.0,1341,1253.0,-48.0,0,,0,N,106.0,71.0,57.0,1,395,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
12,12,1517961600,B6,B6,B6,2001,B6,N316JB,2001,10792,BUF,"Buffalo, NY",12478,JFK,"New York, NY",532,524.0,-8.0,28.0,552.0,646.0,5.0,700,651.0,-9.0,0,,0,N,88.0,87.0,54.0,1,301,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
14,14,1550016000,WN,WN,WN,214,WN,N281WN,214,10792,BUF,"Buffalo, NY",10821,BWI,"Baltimore, MD",1840,,,,,,,2000,,,1,B,0,N,80.0,,,1,281,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
15,15,1551225600,B6,B6,B6,2101,B6,N228JB,2101,10792,BUF,"Buffalo, NY",12478,JFK,"New York, NY",801,751.0,-10.0,19.0,810.0,904.0,4.0,926,908.0,-18.0,0,,0,N,85.0,77.0,54.0,1,301,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
17,17,1515801600,AA,AA_CODESHARE,AA,3365,MQ,N532EA,3365,10792,BUF,"Buffalo, NY",13930,ORD,"Chicago, IL",1149,1157.0,8.0,10.0,1207.0,1221.0,8.0,1245,1229.0,-16.0,0,,0,N,116.0,92.0,74.0,1,474,,,,,,,,,,Buffalo,42.94052,-78.73217,snow
18,18,1549670400,WN,WN,WN,5588,WN,N783SW,5588,10792,BUF,"Buffalo, NY",11697,FLL,"Fort Lauderdale, FL",725,728.0,3.0,14.0,742.0,1027.0,3.0,1035,1030.0,-5.0,0,,0,N,190.0,182.0,165.0,1,1166,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
20,20,1575936000,B6,B6,B6,1216,B6,N294JB,1216,10792,BUF,"Buffalo, NY",10721,BOS,"Boston, MA",1639,1707.0,28.0,25.0,1732.0,1826.0,5.0,1805,1831.0,26.0,0,,0,N,86.0,84.0,54.0,1,395,26.0,0.0,0.0,0.0,0.0,,,,,Buffalo,42.94052,-78.73217,rain
21,21,1550188800,WN,WN,WN,396,WN,N8714Q,396,10792,BUF,"Buffalo, NY",15304,TPA,"Tampa, FL",1800,1759.0,-1.0,26.0,1825.0,2043.0,5.0,2045,2048.0,3.0,0,,0,N,165.0,169.0,138.0,1,1053,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
22,22,1516579200,AA,AA_CODESHARE,AA,4629,YX,N107HQ,4629,10792,BUF,"Buffalo, NY",11278,DCA,"Washington, DC",930,922.0,-8.0,14.0,936.0,1030.0,5.0,1100,1035.0,-25.0,0,,0,N,90.0,73.0,54.0,1,296,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
24,24,1515888000,DL,DL_CODESHARE,DL,3808,9E,N917XJ,3808,10792,BUF,"Buffalo, NY",12478,JFK,"New York, NY",543,541.0,-2.0,28.0,609.0,707.0,7.0,725,714.0,-11.0,0,,0,N,102.0,93.0,58.0,1,301,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
25,25,1549238400,DL,DL_CODESHARE,DL,5121,9E,N293PQ,5121,10792,BUF,"Buffalo, NY",11433,DTW,"Detroit, MI",950,940.0,-10.0,19.0,959.0,1043.0,5.0,1121,1048.0,-33.0,0,,0,N,91.0,68.0,44.0,1,241,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
27,27,1543881600,WN,WN,WN,1008,WN,N273WN,1008,10792,BUF,"Buffalo, NY",13232,MDW,"Chicago, IL",1715,1706.0,-9.0,11.0,1717.0,1735.0,4.0,1800,1739.0,-21.0,0,,0,N,105.0,93.0,78.0,1,468,,,,,,,,,,Buffalo,42.94052,-78.73217,snow
29,29,1517443200,WN,WN,WN,1860,WN,N285WN,1860,10792,BUF,"Buffalo, NY",11697,FLL,"Fort Lauderdale, FL",1545,1536.0,-9.0,11.0,1547.0,1836.0,12.0,1850,1848.0,-2.0,0,,0,N,185.0,192.0,169.0,1,1166,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
31,31,1519084800,DL,DL_CODESHARE,DL,3468,9E,N296PQ,3468,10792,BUF,"Buffalo, NY",12953,LGA,"New York, NY",1026,1021.0,-5.0,14.0,1035.0,1123.0,10.0,1157,1133.0,-24.0,0,,0,N,91.0,72.0,48.0,1,292,,,,,,,,,,Buffalo,42.94052,-78.73217,rain
32,32,1544054400,F9,F9,F9,1725,F9,N711FR,1725,10792,BUF,"Buffalo, NY",13204,MCO,"Orlando, FL",1720,1813.0,53.0,42.0,1855.0,2106.0,13.0,2007,2119.0,72.0,0,,0,N,167.0,186.0,131.0,1,1011,0.0,0.0,21.0,0.0,51.0,,,,,Buffalo,42.94052,-78.73217,cloudy
33,33,1544313600,B6,B6,B6,816,B6,N279JB,816,10792,BUF,"Buffalo, NY",10721,BOS,"Boston, MA",926,919.0,-7.0,12.0,931.0,1030.0,4.0,1040,1034.0,-6.0,0,,0,N,74.0,75.0,59.0,1,395,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
34,34,1549756800,AA,AA_CODESHARE,AA,4499,YX,N415YX,4499,10792,BUF,"Buffalo, NY",11278,DCA,"Washington, DC",1736,1745.0,9.0,15.0,1800.0,1853.0,6.0,1900,1859.0,-1.0,0,,0,N,84.0,74.0,53.0,1,296,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
36,36,1576713600,AA,AA_CODESHARE,AA,3914,MQ,N225NN,3914,10792,BUF,"Buffalo, NY",11298,DFW,"Dallas/Fort Worth, TX",630,632.0,2.0,26.0,658.0,849.0,19.0,926,908.0,-18.0,0,,0,N,236.0,216.0,171.0,1,1212,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
37,37,1516752000,AA,AA,AA,1942,AA,N717UW,1942,10792,BUF,"Buffalo, NY",11057,CLT,"Charlotte, NC",1149,1141.0,-8.0,28.0,1209.0,1340.0,13.0,1346,1353.0,7.0,0,,0,N,117.0,132.0,91.0,1,546,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
40,40,1548720000,AA,AA_CODESHARE,AA,4483,YX,N104HQ,4483,10792,BUF,"Buffalo, NY",14100,PHL,"Philadelphia, PA",554,549.0,-5.0,24.0,613.0,715.0,7.0,724,722.0,-2.0,0,,0,N,90.0,93.0,62.0,1,279,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
41,41,1550966400,UA,UA_CODESHARE,UA,4339,EV,N12540,4339,10792,BUF,"Buffalo, NY",11618,EWR,"Newark, NJ",1800,,,,,,,1935,,,1,B,0,N,95.0,,,1,282,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
42,42,1544659200,AA,AA,AA,1753,AA,N733UW,1753,10792,BUF,"Buffalo, NY",11057,CLT,"Charlotte, NC",1927,1916.0,-11.0,10.0,1926.0,2055.0,4.0,2124,2059.0,-25.0,0,,0,N,117.0,103.0,89.0,1,546,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
45,45,1515628800,UA,UA_CODESHARE,UA,6020,YV,N521LR,6020,10792,BUF,"Buffalo, NY",12264,IAD,"Washington, DC",1435,1434.0,-1.0,14.0,1448.0,1538.0,5.0,1550,1543.0,-7.0,0,,0,N,75.0,69.0,50.0,1,283,,,,,,,,,,Buffalo,42.94052,-78.73217,rain
46,46,1548892800,AA,AA_CODESHARE,AA,3355,MQ,N241NN,3355,10792,BUF,"Buffalo, NY",13930,ORD,"Chicago, IL",1809,,,,,,,1919,,,1,B,0,N,130.0,,,1,473,,,,,,,,,,Buffalo,42.94052,-78.73217,snow
49,49,1575244800,WN,WN,WN,695,WN,N8697C,695,10792,BUF,"Buffalo, NY",14107,PHX,"Phoenix, AZ",1650,1705.0,15.0,9.0,1714.0,1942.0,14.0,1955,1956.0,1.0,0,,0,N,305.0,291.0,268.0,1,1912,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
50,50,1575504000,DL,DL,DL,1266,DL,N931DN,1266,10792,BUF,"Buffalo, NY",10397,ATL,"Atlanta, GA",553,655.0,62.0,27.0,722.0,854.0,7.0,820,901.0,41.0,0,,0,N,147.0,126.0,92.0,1,712,41.0,0.0,0.0,0.0,0.0,,,,,Buffalo,42.94052,-78.73217,cloudy
51,51,1515110400,B6,B6,B6,1616,B6,N353JB,1616,10792,BUF,"Buffalo, NY",10721,BOS,"Boston, MA",1842,1936.0,54.0,12.0,1948.0,2048.0,19.0,2006,2107.0,61.0,0,,0,N,84.0,91.0,60.0,1,395,26.0,0.0,7.0,0.0,28.0,,,,,Buffalo,42.94052,-78.73217,cloudy
54,54,1549584000,AA,AA_CODESHARE,AA,4631,YX,N428YX,4631,10792,BUF,"Buffalo, NY",11278,DCA,"Washington, DC",620,613.0,-7.0,13.0,626.0,727.0,14.0,748,741.0,-7.0,0,,0,N,88.0,88.0,61.0,1,296,,,,,,,,,,Buffalo,42.94052,-78.73217,rain
55,55,1548547200,AA,AA_CODESHARE,AA,4499,YX,N108HQ,4499,10792,BUF,"Buffalo, NY",11278,DCA,"Washington, DC",1736,1732.0,-4.0,21.0,1753.0,1850.0,6.0,1900,1856.0,-4.0,0,,0,N,84.0,84.0,57.0,1,296,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
56,56,1545350400,UA,UA_CODESHARE,UA,4938,C5,N13161,4938,10792,BUF,"Buffalo, NY",11618,EWR,"Newark, NJ",1600,2100.0,300.0,19.0,2119.0,2217.0,13.0,1729,2230.0,301.0,0,,0,N,89.0,90.0,58.0,1,282,0.0,0.0,301.0,0.0,0.0,,,,,Buffalo,42.94052,-78.73217,cloudy
57,57,1550707200,AA,AA,AA,1923,AA,N725UW,1923,10792,BUF,"Buffalo, NY",11057,CLT,"Charlotte, NC",1930,1932.0,2.0,10.0,1942.0,2127.0,12.0,2130,2139.0,9.0,0,,0,N,120.0,127.0,105.0,1,546,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
60,60,1545782400,AA,AA_CODESHARE,AA,4955,PT,N669MB,4955,10792,BUF,"Buffalo, NY",14100,PHL,"Philadelphia, PA",1837,1837.0,0.0,16.0,1853.0,1948.0,11.0,2010,1959.0,-11.0,0,,0,N,93.0,82.0,55.0,1,279,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
61,61,1518048000,DL,DL_CODESHARE,DL,3710,9E,N916XJ,3710,10792,BUF,"Buffalo, NY",12478,JFK,"New York, NY",1843,1845.0,2.0,46.0,1931.0,2034.0,14.0,2026,2048.0,22.0,0,,0,N,103.0,123.0,63.0,1,301,0.0,0.0,22.0,0.0,0.0,,,,,Buffalo,42.94052,-78.73217,cloudy
62,62,1518393600,DL,DL_CODESHARE,DL,3482,9E,N8936A,3482,10792,BUF,"Buffalo, NY",12953,LGA,"New York, NY",620,,,,,,,758,,,1,C,0,N,98.0,,,1,292,,,,,,,,,,Buffalo,42.94052,-78.73217,snow
63,63,1516147200,DL,DL_CODESHARE,DL,3808,9E,N297PQ,3808,10792,BUF,"Buffalo, NY",12478,JFK,"New York, NY",543,539.0,-4.0,37.0,616.0,716.0,6.0,725,722.0,-3.0,0,,0,N,102.0,103.0,60.0,1,301,,,,,,,,,,Buffalo,42.94052,-78.73217,snow
66,66,1515369600,DL,DL,DL,1176,DL,N985DL,1176,10792,BUF,"Buffalo, NY",10397,ATL,"Atlanta, GA",1859,1853.0,-6.0,12.0,1905.0,2057.0,8.0,2128,2105.0,-23.0,0,,0,N,149.0,132.0,112.0,1,712,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
67,67,1515024000,WN,WN,WN,1677,WN,N8302F,1677,10792,BUF,"Buffalo, NY",11697,FLL,"Fort Lauderdale, FL",505,507.0,2.0,12.0,519.0,753.0,6.0,825,759.0,-26.0,0,,0,N,200.0,172.0,154.0,1,1166,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
68,68,1517529600,F9,F9,F9,1725,F9,N206FR,1725,10792,BUF,"Buffalo, NY",13204,MCO,"Orlando, FL",1317,1900.0,343.0,13.0,1913.0,2122.0,12.0,1607,2134.0,327.0,0,,0,N,170.0,154.0,129.0,1,1011,0.0,0.0,0.0,0.0,327.0,,,,,Buffalo,42.94052,-78.73217,cloudy
69,69,1516060800,WN,WN,WN,925,WN,N270WN,925,10792,BUF,"Buffalo, NY",12889,LAS,"Las Vegas, NV",1255,1301.0,6.0,9.0,1310.0,1414.0,21.0,1500,1435.0,-25.0,0,,0,N,305.0,274.0,244.0,1,1986,,,,,,,,,,Buffalo,42.94052,-78.73217,snow
70,70,1516665600,DL,DL,DL,1266,DL,N960DL,1266,10792,BUF,"Buffalo, NY",10397,ATL,"Atlanta, GA",600,558.0,-2.0,10.0,608.0,808.0,4.0,825,812.0,-13.0,0,,0,N,145.0,134.0,120.0,1,712,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
72,72,1544140800,AA,AA_CODESHARE,AA,4455,YX,N405YX,4455,10792,BUF,"Buffalo, NY",11278,DCA,"Washington, DC",1719,1710.0,-9.0,16.0,1726.0,1818.0,5.0,1838,1823.0,-15.0,0,,0,N,79.0,73.0,52.0,1,296,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
82,82,1515456000,UA,UA_CODESHARE,UA,4117,EV,N27190,4117,10792,BUF,"Buffalo, NY",11618,EWR,"Newark, NJ",1853,2014.0,81.0,54.0,2108.0,2204.0,16.0,2024,2220.0,116.0,0,,0,N,91.0,126.0,56.0,1,282,35.0,0.0,76.0,0.0,5.0,,,,,Buffalo,42.94052,-78.73217,cloudy
83,83,1544054400,AA,AA,AA,1753,AA,N715UW,1753,10792,BUF,"Buffalo, NY",11057,CLT,"Charlotte, NC",1927,1956.0,29.0,16.0,2012.0,2138.0,5.0,2124,2143.0,19.0,0,,0,N,117.0,107.0,86.0,1,546,0.0,0.0,0.0,0.0,19.0,,,,,Buffalo,42.94052,-78.73217,cloudy
84,84,1546560000,AA,AA_CODESHARE,AA,5002,PT,N636AE,5002,10792,BUF,"Buffalo, NY",14100,PHL,"Philadelphia, PA",1646,1634.0,-12.0,16.0,1650.0,1746.0,7.0,1822,1753.0,-29.0,0,,0,N,96.0,79.0,56.0,1,279,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
86,86,1517961600,DL,DL_CODESHARE,DL,5868,YX,N211JQ,5868,10792,BUF,"Buffalo, NY",12953,LGA,"New York, NY",1558,1644.0,46.0,98.0,1822.0,1913.0,7.0,1730,1920.0,110.0,0,,0,N,92.0,156.0,51.0,1,292,0.0,0.0,80.0,0.0,30.0,,,,,Buffalo,42.94052,-78.73217,cloudy
88,88,1514851200,DL,DL,DL,1683,DL,N366NB,1683,10792,BUF,"Buffalo, NY",11433,DTW,"Detroit, MI",613,612.0,-1.0,35.0,647.0,734.0,8.0,742,742.0,0.0,0,,0,N,89.0,90.0,47.0,1,241,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
89,89,1515801600,DL,DL,DL,1159,DL,N946DL,1159,10792,BUF,"Buffalo, NY",10397,ATL,"Atlanta, GA",1540,1539.0,-1.0,12.0,1551.0,1749.0,6.0,1809,1755.0,-14.0,0,,0,N,149.0,136.0,118.0,1,712,,,,,,,,,,Buffalo,42.94052,-78.73217,snow
91,91,1575417600,AA,AA_CODESHARE,AA,4879,PT,N648AE,4879,10792,BUF,"Buffalo, NY",14100,PHL,"Philadelphia, PA",1527,1519.0,-8.0,36.0,1555.0,1652.0,6.0,1654,1658.0,4.0,0,,0,N,87.0,99.0,57.0,1,279,,,,,,,,,,Buffalo,42.94052,-78.73217,snow
92,92,1546128000,B6,B6,B6,85,B6,N662JB,85,10792,BUF,"Buffalo, NY",13204,MCO,"Orlando, FL",1643,1637.0,-6.0,9.0,1646.0,1901.0,9.0,1933,1910.0,-23.0,0,,0,N,170.0,153.0,135.0,1,1011,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
93,93,1551312000,AA,AA_CODESHARE,AA,3426,MQ,N244NN,3426,10792,BUF,"Buffalo, NY",13930,ORD,"Chicago, IL",750,736.0,-14.0,23.0,759.0,823.0,16.0,905,839.0,-26.0,0,,0,N,135.0,123.0,84.0,1,473,,,,,,,,,,Buffalo,42.94052,-78.73217,snow
95,95,1546387200,WN,WN,WN,6821,WN,N467WN,6821,10792,BUF,"Buffalo, NY",13232,MDW,"Chicago, IL",1435,1521.0,46.0,21.0,1542.0,1607.0,5.0,1520,1612.0,52.0,0,,0,N,105.0,111.0,85.0,1,468,4.0,0.0,6.0,0.0,42.0,,,,,Buffalo,42.94052,-78.73217,cloudy
96,96,1517270400,DL,DL,DL,1176,DL,N978DL,1176,10792,BUF,"Buffalo, NY",10397,ATL,"Atlanta, GA",1859,1847.0,-12.0,11.0,1858.0,2028.0,4.0,2128,2032.0,-56.0,0,,0,N,149.0,105.0,90.0,1,712,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
98,98,1546128000,WN,WN,WN,5178,WN,N7842A,5178,10792,BUF,"Buffalo, NY",10821,BWI,"Baltimore, MD",1335,1336.0,1.0,9.0,1345.0,1429.0,3.0,1445,1432.0,-13.0,0,,0,N,70.0,56.0,44.0,1,281,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
101,101,1546300800,WN,WN,WN,452,WN,N7735A,452,10792,BUF,"Buffalo, NY",13232,MDW,"Chicago, IL",1730,1743.0,13.0,22.0,1805.0,1840.0,21.0,1815,1901.0,46.0,0,,0,N,105.0,138.0,95.0,1,468,13.0,0.0,33.0,0.0,0.0,,,,,Buffalo,42.94052,-78.73217,rain
104,104,1516924800,WN,WN,WN,785,WN,N276WN,785,10792,BUF,"Buffalo, NY",11697,FLL,"Fort Lauderdale, FL",520,516.0,-4.0,15.0,531.0,802.0,2.0,830,804.0,-26.0,0,,0,N,190.0,168.0,151.0,1,1166,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
105,105,1517788800,WN,WN,WN,785,WN,N7732A,785,10792,BUF,"Buffalo, NY",11697,FLL,"Fort Lauderdale, FL",520,517.0,-3.0,34.0,551.0,837.0,5.0,830,842.0,12.0,0,,0,N,190.0,205.0,166.0,1,1166,,,,,,,,,,Buffalo,42.94052,-78.73217,snow
106,106,1549756800,F9,F9,F9,1041,F9,N722FR,1041,10792,BUF,"Buffalo, NY",13204,MCO,"Orlando, FL",1722,1719.0,-3.0,20.0,1739.0,1949.0,31.0,2022,2020.0,-2.0,0,,0,N,180.0,181.0,130.0,1,1011,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
107,107,1548547200,UA,UA_CODESHARE,UA,4932,C5,N12157,4932,10792,BUF,"Buffalo, NY",11618,EWR,"Newark, NJ",2005,2130.0,85.0,12.0,2142.0,2230.0,6.0,2139,2236.0,57.0,0,,0,N,94.0,66.0,48.0,1,282,0.0,0.0,0.0,0.0,57.0,,,,,Buffalo,42.94052,-78.73217,cloudy
108,108,1519084800,WN,WN,WN,940,WN,N938WN,940,10792,BUF,"Buffalo, NY",10821,BWI,"Baltimore, MD",1235,1230.0,-5.0,7.0,1237.0,1326.0,13.0,1345,1339.0,-6.0,0,,0,N,70.0,69.0,49.0,1,281,,,,,,,,,,Buffalo,42.94052,-78.73217,rain
109,109,1543881600,AA,AA_CODESHARE,AA,4565,YX,N425YX,4565,10792,BUF,"Buffalo, NY",14100,PHL,"Philadelphia, PA",1035,1022.0,-13.0,12.0,1034.0,1124.0,5.0,1154,1129.0,-25.0,0,,0,N,79.0,67.0,50.0,1,279,,,,,,,,,,Buffalo,42.94052,-78.73217,snow
112,112,1515369600,WN,WN,WN,1879,WN,N8328A,1879,10792,BUF,"Buffalo, NY",13232,MDW,"Chicago, IL",1715,1726.0,11.0,20.0,1746.0,1808.0,4.0,1800,1812.0,12.0,0,,0,N,105.0,106.0,82.0,1,468,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
117,117,1548806400,B6,B6,B6,816,B6,N273JB,816,10792,BUF,"Buffalo, NY",10721,BOS,"Boston, MA",1016,,,,,,,1142,,,1,B,0,N,86.0,,,1,395,,,,,,,,,,Buffalo,42.94052,-78.73217,snow
120,120,1544140800,DL,DL,DL,1672,DL,N995DL,1672,10792,BUF,"Buffalo, NY",10397,ATL,"Atlanta, GA",1120,1116.0,-4.0,15.0,1131.0,1319.0,4.0,1349,1323.0,-26.0,0,,0,N,149.0,127.0,108.0,1,712,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
121,121,1545868800,B6,B6,B6,85,B6,N523JB,85,10792,BUF,"Buffalo, NY",13204,MCO,"Orlando, FL",1643,1707.0,24.0,9.0,1716.0,1930.0,8.0,1933,1938.0,5.0,0,,0,N,170.0,151.0,134.0,1,1011,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
122,122,1547164800,F9,F9,F9,1041,F9,N711FR,1041,10792,BUF,"Buffalo, NY",13204,MCO,"Orlando, FL",1723,1732.0,9.0,10.0,1742.0,1947.0,9.0,2024,1956.0,-28.0,0,,0,N,181.0,144.0,125.0,1,1011,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
123,123,1515456000,WN,WN,WN,1879,WN,N8600F,1879,10792,BUF,"Buffalo, NY",13232,MDW,"Chicago, IL",1715,1728.0,13.0,13.0,1741.0,1757.0,4.0,1800,1801.0,1.0,0,,0,N,105.0,93.0,76.0,1,468,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
124,124,1515024000,WN,WN,WN,136,WN,N260WN,136,10792,BUF,"Buffalo, NY",10821,BWI,"Baltimore, MD",1230,1301.0,31.0,21.0,1322.0,1419.0,2.0,1340,1421.0,41.0,0,,0,N,70.0,80.0,57.0,1,281,9.0,0.0,10.0,0.0,22.0,,,,,Buffalo,42.94052,-78.73217,cloudy
125,125,1577664000,WN,WN,WN,310,WN,N8306H,310,10792,BUF,"Buffalo, NY",13204,MCO,"Orlando, FL",850,850.0,0.0,11.0,901.0,1127.0,6.0,1140,1133.0,-7.0,0,,0,N,170.0,163.0,146.0,1,1011,,,,,,,,,,Buffalo,42.94052,-78.73217,rain
126,126,1547683200,UA,UA_CODESHARE,UA,4938,C5,N11191,4938,10792,BUF,"Buffalo, NY",11618,EWR,"Newark, NJ",1600,1553.0,-7.0,11.0,1604.0,1702.0,8.0,1734,1710.0,-24.0,0,,0,N,94.0,77.0,58.0,1,282,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
128,128,1550966400,WN,WN,WN,2525,WN,N8606C,2525,10792,BUF,"Buffalo, NY",14107,PHX,"Phoenix, AZ",840,901.0,21.0,9.0,910.0,1153.0,4.0,1150,1157.0,7.0,0,,0,N,310.0,296.0,283.0,1,1912,,,,,,,,,,Buffalo,42.94052,-78.73217,cloudy
131,131,1575244800,DL,DL,DL,2014,DL,N928DN,2014,15096,SYR,"Syracuse, NY",10397,ATL,"Atlanta, GA",600,656.0,56.0,47.0,743.0,924.0,5.0,835,929.0,54.0,0,,0,N,155.0,153.0,101.0,1,794,0.0,54.0,0.0,0.0,0.0,,,,,Syracuse,43.11119,-76.10631,snow
132,132,1575504000,DL,DL,DL,2270,DL,N351NB,2270,15096,SYR,"Syracuse, NY",11433,DTW,"Detroit, MI",544,542.0,-2.0,36.0,618.0,718.0,7.0,730,725.0,-5.0,0,,0,N,106.0,103.0,60.0,1,374,,,,,,,,,,Syracuse,43.11119,-76.10631,cloudy
134,134,1546560000,AA,AA_CODESHARE,AA,3916,MQ,N542EA,3916,15096,SYR,"Syracuse, NY",13930,ORD,"Chicago, IL",653,644.0,-9.0,24.0,708.0,742.0,31.0,843,813.0,-30.0,0,,0,N,170.0,149.0,94.0,1,607,,,,,,,,,,Syracuse,43.11119,-76.10631,cloudy
135,135,1516320000,AA,AA_CODESHARE,AA,4544,YX,N107HQ,4544,15096,SYR,"Syracuse, NY",14100,PHL,"Philadelphia, PA",1515,1511.0,-4.0,12.0,1523.0,1610.0,5.0,1633,1615.0,-18.0,0,,0,N,78.0,64.0,47.0,1,228,,,,,,,,,,Syracuse,43.11119,-76.10631,cloudy
141,141,1515456000,AA,AA_CODESHARE,AA,3200,OO,N706SK,3200,15096,SYR,"Syracuse, NY",13930,ORD,"Chicago, IL",745,735.0,-10.0,39.0,814.0,856.0,17.0,919,913.0,-6.0,0,,0,N,154.0,158.0,102.0,1,607,,,,,,,,,,Syracuse,43.11119,-76.10631,cloudy
