fl_date,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,op_carrier_fl_num,origin_airport_id,origin,dest_airport_id,dest,dep_delay,arr_delay,cancelled,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,dep_hour,arr_hour,delayed,haul,month,season,dep_time_of_the_day,dest_code,carrier_code,unique_carrier_code,label
2018-12-02,DL,6249,G7,6249,11618,EWR,14492,RDU,72.0,62.0,0.0,110.0,100.0,72.0,1.0,416.0,0.0,0.0,0.0,0.0,62.0,16,17,1,SHORT,12,winter,afternoon,249,3,12,1
2018-10-27,AA,4167,MQ,4167,13930,ORD,13198,MCI,-3.0,-16.0,0.0,87.0,74.0,57.0,1.0,403.0,0.0,0.0,0.0,0.0,0.0,10,11,0,SHORT,10,autumn,morning,181,0,15,0
2018-02-28,DL,1189,DL,1189,14869,SLC,10821,BWI,0.0,-22.0,0.0,250.0,228.0,193.0,1.0,1865.0,0.0,0.0,0.0,0.0,0.0,9,15,0,SHORT,2,winter,morning,45,3,7,0
2019-02-01,UA,3981,EV,3981,11111,COU,13930,ORD,7.0,21.0,0.0,89.0,103.0,50.0,1.0,315.0,7.0,0.0,14.0,0.0,0.0,6,8,1,SHORT,2,winter,morning,216,8,9,1
2018-06-09,UA,5381,OO,5381,11292,DEN,14783,SGF,-6.0,17.0,0.0,114.0,137.0,82.0,1.0,637.0,0.0,0.0,17.0,0.0,0.0,17,21,1,SHORT,6,summer,afternoon,275,8,18,1
2018-02-23,NK,721,NK,721,14122,PIT,13204,MCO,-3.0,-16.0,0.0,147.0,134.0,114.0,1.0,834.0,0.0,0.0,0.0,0.0,0.0,8,10,0,SHORT,2,winter,morning,182,7,16,0
2019-09-16,UA,3691,YX,3691,13871,OMA,13930,ORD,-9.0,-33.0,0.0,107.0,83.0,63.0,1.0,416.0,0.0,0.0,0.0,0.0,0.0,8,10,0,SHORT,9,autumn,morning,216,8,25,0
2019-01-11,B6,536,B6,536,11697,FLL,15070,SWF,-3.0,-4.0,0.0,179.0,178.0,162.0,1.0,1118.0,0.0,0.0,0.0,0.0,0.0,16,19,0,SHORT,1,winter,afternoon,296,2,4,0
2019-08-18,WN,4540,WN,4540,14122,PIT,10693,BNA,-5.0,-15.0,0.0,90.0,80.0,67.0,1.0,462.0,0.0,0.0,0.0,0.0,0.0,7,7,0,SHORT,8,summer,morning,35,10,23,0
2018-08-03,WN,250,WN,250,11540,ELP,12191,HOU,-1.0,5.0,0.0,110.0,116.0,94.0,1.0,677.0,0.0,0.0,0.0,0.0,0.0,7,10,1,SHORT,8,summer,morning,133,10,23,1
2019-12-21,UA,419,UA,419,14747,SEA,12264,IAD,-3.0,-12.0,0.0,293.0,284.0,254.0,1.0,2306.0,0.0,0.0,0.0,0.0,0.0,8,15,0,SHORT,12,winter,morning,138,8,21,0
2019-10-29,AS,3456,OO,3456,14747,SEA,14869,SLC,-1.0,-16.0,0.0,125.0,110.0,93.0,1.0,689.0,0.0,0.0,0.0,0.0,0.0,19,22,0,SHORT,10,autumn,evening,283,1,18,0
2018-09-29,UA,634,UA,634,12889,LAS,12266,IAH,-4.0,-14.0,0.0,178.0,168.0,147.0,1.0,1222.0,0.0,0.0,0.0,0.0,0.0,0,5,0,SHORT,9,autumn,night,140,8,21,0
2019-03-26,UA,4593,G7,4593,13930,ORD,11433,DTW,14.0,19.0,0.0,91.0,96.0,51.0,1.0,235.0,6.0,0.0,5.0,0.0,8.0,18,20,1,SHORT,3,spring,evening,84,8,12,1
2019-04-17,AA,481,AA,481,14100,PHL,12892,LAX,-5.0,-2.0,0.0,361.0,364.0,323.0,1.0,2402.0,0.0,0.0,0.0,0.0,0.0,12,15,0,SHORT,4,spring,afternoon,161,0,1,0
2018-01-03,UA,5534,OO,5534,11292,DEN,15041,SUN,0.0,-3.0,0.0,124.0,121.0,103.0,1.0,557.0,0.0,0.0,0.0,0.0,0.0,11,13,0,SHORT,1,winter,morning,294,8,18,0
2018-06-01,UA,5073,OO,5073,14006,PAH,13930,ORD,-9.0,-6.0,0.0,93.0,96.0,66.0,1.0,342.0,0.0,0.0,0.0,0.0,0.0,14,16,0,SHORT,6,summer,afternoon,216,8,18,0
2019-05-04,UA,5107,OO,5107,14802,SHD,12264,IAD,0.0,0.0,0.0,51.0,51.0,26.0,1.0,91.0,0.0,0.0,0.0,0.0,0.0,6,7,0,SHORT,5,spring,morning,138,8,18,1
2019-10-09,UA,3560,YX,3560,12266,IAH,13158,MAF,-8.0,-14.0,0.0,90.0,84.0,65.0,1.0,429.0,0.0,0.0,0.0,0.0,0.0,21,23,0,SHORT,10,autumn,evening,179,8,25,0
2018-09-20,UA,5861,OO,5861,12892,LAX,14771,SFO,-2.0,-22.0,0.0,104.0,84.0,54.0,1.0,337.0,0.0,0.0,0.0,0.0,0.0,16,18,0,SHORT,9,autumn,afternoon,274,8,18,0
2019-03-27,AS,2868,QX,2868,14004,PAE,12892,LAX,26.0,38.0,0.0,170.0,182.0,147.0,1.0,984.0,0.0,0.0,38.0,0.0,0.0,19,22,1,SHORT,3,spring,evening,161,1,20,1
2018-09-07,DL,1615,DL,1615,10397,ATL,11697,FLL,0.0,-14.0,0.0,115.0,101.0,82.0,1.0,581.0,0.0,0.0,0.0,0.0,0.0,15,16,0,SHORT,9,autumn,afternoon,105,3,7,0
2019-04-18,B6,433,B6,433,11278,DCA,14027,PBI,-7.0,11.0,0.0,152.0,170.0,131.0,1.0,857.0,0.0,0.0,0.0,0.0,0.0,8,11,1,SHORT,4,spring,morning,222,2,4,1
2018-08-22,AA,2041,AA,2041,11057,CLT,13487,MSP,-1.0,1.0,0.0,158.0,160.0,133.0,1.0,930.0,0.0,0.0,0.0,0.0,0.0,20,22,1,SHORT,8,summer,evening,204,0,1,1
2018-03-04,WN,2233,WN,2233,14107,PHX,12892,LAX,20.0,52.0,0.0,85.0,117.0,64.0,1.0,370.0,20.0,0.0,32.0,0.0,0.0,19,20,1,SHORT,3,spring,evening,161,10,23,1
2018-12-04,AA,1354,AA,1354,11298,DFW,11278,DCA,-7.0,-25.0,0.0,170.0,152.0,136.0,1.0,1192.0,0.0,0.0,0.0,0.0,0.0,6,10,0,SHORT,12,winter,morning,75,0,1,0
2018-11-21,AS,92,AS,92,10299,ANC,14747,SEA,-1.0,0.0,0.0,208.0,209.0,190.0,1.0,1448.0,0.0,0.0,0.0,0.0,0.0,11,16,0,SHORT,11,autumn,morning,272,1,2,1
2019-01-24,UA,5813,OO,5813,13930,ORD,12992,LIT,79.0,115.0,0.0,126.0,162.0,89.0,1.0,552.0,0.0,79.0,36.0,0.0,0.0,11,14,1,SHORT,1,winter,morning,171,8,18,1
2019-12-11,NK,713,NK,713,13204,MCO,12266,IAH,-3.0,-11.0,0.0,164.0,156.0,133.0,1.0,854.0,0.0,0.0,0.0,0.0,0.0,12,14,0,SHORT,12,winter,afternoon,140,7,16,0
2018-05-14,WN,5737,WN,5737,13851,OKC,11292,DEN,48.0,48.0,0.0,95.0,95.0,76.0,1.0,495.0,0.0,0.0,0.0,0.0,48.0,21,22,1,SHORT,5,spring,evening,76,10,23,1
2018-07-22,WN,5004,WN,5004,13796,OAK,14679,SAN,-5.0,-10.0,0.0,90.0,85.0,74.0,1.0,446.0,0.0,0.0,0.0,0.0,0.0,8,9,0,SHORT,7,summer,morning,261,10,23,0
2019-05-05,HA,6,HA,6,12173,HNL,12889,LAS,-1.0,-3.0,0.0,345.0,343.0,308.0,1.0,2762.0,0.0,0.0,0.0,0.0,0.0,8,16,0,MEDIUM,5,spring,morning,159,6,13,0
2018-04-28,AS,2154,QX,2154,14893,SMF,10713,BOI,-5.0,-14.0,0.0,93.0,84.0,71.0,1.0,437.0,0.0,0.0,0.0,0.0,0.0,16,19,0,SHORT,4,spring,afternoon,36,1,20,0
